6,115,9
12,82,11
14,159,12
14,90,12
10,60,16
5,115,7
8,124,8
7,80,13
8,97,12
7,126,7
11,92,8
20,81,12
14,138,12
7,155,8
11,89,8
8,148,11
6,86,8
6,174,9
15,102,10
11,59,8
8,133,8
6,179,6
6,123,6
7,33,21
5,185,8
8,211,6
5,182,6
5,182,6
6,97,4
5,275,9
12,182,12
5,187,4
11,169,9
5,231,8
15,250,16
13,228,10
16,247,8
9,232,7
5,241,6
9,231,6
7,212,6
